id	len	rounds	transition	density1	density2
ENST00000378567.7	134926	20	19604.8	0.75	1.01722
ENST00000377860.8	129089	102	16533.7	0.294813	1.0335
ENST00000545482.5	129494	8	10000	0.15	1
ENST00000303635.11	255000	6	10000	0.05	0.937755
ENST00000461311.1	102236	6	10000	0.1	1.13333
ENST00000445300.1	95965	18	35890.9	0.137581	0.803599
ENST00000337907.7	255000	24	19481.8	0.508317	1.25102
ENST00000375592.7	105616	4	10000	0.35	1.18947
ENST00000361221.7	158035	4	10000	0.45	0.95
ENST00000433834.5	145306	3	10000	0.45	0.927778
ENST00000375127.5	117105	3	10000	0.95	1.04286
ENST00000374632.7	203301	6	10000	1.2	0.964474
ENST00000374332.8	168740	5	10000	1.1	1.53871
ENST00000373863.3	111292	4	10000	0.65	1.14
ENST00000463428.5	97503	4	10000	1.05	1.22353
ENST00000493669.2	127413	5	10000	1.05	1.21304
ENST00000526215.5	84339	5	10000	0.3	1.08214
ENST00000441447.1	90197	25	14299.7	0.85	1.15053
ENST00000467673.5	149220	6	10000	0.75	1.30741
ENST00000337495.9	214909	3	10000	1.4	1.30875
ENST00000372572.5	158427	9	10000	0.15	1.10517
ENST00000361776.5	158671	62	18164	0.468246	1.1352
ENST00000372257.6	134139	4	10000	0.9	1.07292
ENST00000452396.5	107275	5	10000	0.9	1.06842
ENST00000361297.6	232512	5	10000	0.2	1.37045
ENST00000423209.5	88955	4	10000	0.55	1.09333
ENST00000372006.5	92655	5	10000	0.5	1.10312
ENST00000371843.7	174174	8	15000	0.4	1.41613
ENST00000489990.5	159799	34	20000	0.466667	1.12037
ENST00000287727.7	204592	32	20000	0.45	1.3
ENST00000357206.6	204142	29	19307.1	0.39568	1.29136
ENST00000257177.8	129708	7	10000	0.1	1.28913
ENST00000628545.1	231865	10	10000	0.25	1.14659
ENST00000417664.6	178873	3	10000	0.75	1.42727
ENST00000294383.6	148755	4	10000	0.4	1.10926
ENST00000634364.1	255000	24	20000	0.616667	1.31809
ENST00000407417.7	255000	7	10000	0.35	1.24898
ENST00000635023.1	255000	4	10000	0.8	1.25306
ENST00000251157.10	233539	45	25000	0.575	1.46951
ENST00000527864.1	72642	6	10000	0.8	1.02917
ENST00000491076.1	77279	5	10000	0.75	1.03462
ENST00000455406.5	156400	4	10000	0.35	1.25
ENST00000630350.2	255000	3	10000	0.45	1.28367
ENST00000357731.9	255000	15	160000	0.1	1.47426e-228
ENST00000328299.3	255000	12	20000	0.333333	1.30106
ENST00000370812.7	130437	3	10000	1.25	1.24167
ENST00000445065.5	130441	3	10000	1.25	1.24167
ENST00000370791.7	98798	3	10000	0.7	1.21176
ENST00000482783.1	81340	3	10000	0.9	1.46071
ENST00000474957.5	134123	3	10000	0.9	1.32708
ENST00000370689.6	160437	5	10000	0.8	1.40333
ENST00000370688.7	127296	5	10000	0.8	1.4
ENST00000284031.12	146656	7	10000	0.2	1.2
ENST00000539042.3	146659	7	10000	0.2	1.2
ENST00000370571.6	255000	5	10000	0.3	1.00408
ENST00000370551.8	183798	31	20000	0.416667	1.44531
ENST00000370550.9	195325	32	20000	0.416667	1.43429
ENST00000370513.9	148947	20	15000	0.65	1.24038
ENST00000337338.9	115580	3	10000	0.9	1.19048
ENST00000394593.7	114081	3	10000	0.95	1.1825
ENST00000467231.5	105625	29	13915	0.95	1.05979
ENST00000532540.5	203286	21	20000	0.266667	1.53333
ENST00000212355.8	205935	21	20000	0.283333	1.52568
ENST00000370310.4	119334	3	10000	0.6	1.31667
ENST00000613902.4	119363	3	10000	0.6	1.30476
ENST00000370243.1	119577	5	10000	0.6	1.3619
ENST00000370244.5	255000	24	19274.3	0.660874	0.910238
ENST00000370214.8	100209	78	25000	0.5125	1.49333
ENST00000426398.2	92972	5	10000	0.65	1.14063
ENST00000529992.5	98798	8	10000	1	1.58235
ENST00000361544.10	146970	32	25000	0.7625	1.47083
ENST00000336454.3	167678	10	19604.9	0.761707	1.41769
ENST00000527011.5	255000	20	25000	0.3	1.33696
ENST00000370056.8	255000	20	24271.6	0.288792	1.31512
ENST00000369709.3	96909	4	10000	0.2	1.36176
ENST00000343210.11	77400	4	10000	1.05	1.19231
ENST00000369617.8	255000	36	19481.8	0.459476	1.42493
ENST00000369611.4	255000	34	19481.8	0.461266	1.43755
ENST00000358465.6	118384	5	10000	0.75	1.25714
ENST00000356554.7	161424	7	10000	0.05	1.31
ENST00000336338.9	231360	5	10000	1.15	0.721591
ENST00000235521.4	109451	5	10000	0.35	0.610526
ENST00000368346.7	227426	5	10000	0.3	1.20116
ENST00000368194.7	110531	5	10000	0.3	1.0675
ENST00000430120.3	255000	5	10000	0.55	1.48673
ENST00000367866.6	206517	36	18690.8	0.380011	1.1046
ENST00000528517.5	137017	5	10000	0.3	1.008
ENST00000367767.5	153263	6	10000	0.4	1.16964
ENST00000251507.8	255000	4	10000	0.45	1.18878
ENST00000457696.1	234556	4	10000	0.45	1.2
ENST00000308769.12	255000	36	25000	0.4875	1.38478
ENST00000367649.7	255000	4	10000	0.4	1.5551
ENST00000367634.6	196695	4	10000	0.4	1.54054
ENST00000324778.5	158138	4	10000	0.45	1.56379
ENST00000367623.8	121680	4	10000	0.35	1.22955
ENST00000367607.7	160143	7	10000	0.6	1.325
ENST00000367589.3	254095	7	10000	0.2	1.32292
ENST00000258341.4	122133	3	10000	0.75	1.49091
ENST00000304685.8	255000	6	10000	0.5	1.15102
ENST00000235307.6	241963	33	19443.5	0.599969	1.49433
ENST00000367435.3	131885	6	10000	0.25	1.12083
ENST00000367433.9	255000	3	10000	0.95	1.27449
ENST00000294725.13	255000	5	10000	0.65	1.29082
ENST00000235453.8	222938	3	10000	0.25	1.3869
ENST00000358823.6	121147	5	10000	1	1.31818
ENST00000367218.7	117293	5	10000	0.55	1.01667
ENST00000543354.5	222232	17	19382.7	0.341416	1.25034
ENST00000366959.4	223519	20	19382.7	0.356652	1.24925
ENST00000366956.9	202528	6	10000	0.25	1.37237
ENST00000475275.5	204181	3	10000	2	1.48816
ENST00000366933.4	240373	5	10000	1.3	1.31087
ENST00000402574.5	136274	34	20000	0.366667	1.41739
ENST00000366917.5	133902	40	20000	0.383333	1.42955
ENST00000281701.10	103054	4	10000	0.8	1.02222
ENST00000272133.3	124257	46	10000	0.9	0.911364
ENST00000635051.1	155815	4	10000	0.55	1.35862
ENST00000366844.7	166308	4	10000	0.45	1.3629
ENST00000366764.6	255000	7	10000	0.15	1.26939
ENST00000366769.7	255000	7	10000	0.15	1.26735
ENST00000440339.1	91189	56	25000	0.6125	1.04615
ENST00000391860.6	111890	3	10000	0.85	1.0175
ENST00000258229.13	255000	5	10000	0.75	1.09184
ENST00000366603.6	160593	4	10000	0.45	1.28667
ENST00000349213.7	161325	4	10000	0.3	1.28167
ENST00000535889.5	108701	4	10000	0.85	1.14737
ENST00000319653.13	255000	5	10000	0.65	1.54898
ENST00000366541.7	244037	16	10000	0.95	1.32935
ENST00000366539.5	255000	4	10000	0.6	1.32041
ENST00000407071.6	255000	3	10000	0.55	1.17245
ENST00000462422.5	255000	3	10000	0.45	1.49286
ENST00000483271.1	81792	5	10000	0.65	1.12857
ENST00000402736.5	119126	64	20000	0.766667	1.2
ENST00000612396.4	124792	5	10000	0.35	1.05227
ENST00000263125.9	153159	4	10000	1.25	1.24286
ENST00000344293.5	198124	8	10000	0.65	1.25135
ENST00000632065.1	255000	50	18504.3	0.439082	1.31745
ENST00000357604.9	122813	4	10000	0.55	1.14545
ENST00000377921.7	226773	5	10000	0.8	1.1907
ENST00000345264.9	226918	4	10000	0.75	1.18372
ENST00000324631.11	255000	4	10000	2	1.20816
ENST00000377242.7	255000	3	10000	1.1	1.36122
ENST00000417816.2	255000	4	10000	1.35	1.44082
ENST00000447548.5	83497	52	20000	0.366667	1.49583
ENST00000476103.3	83697	46	20000	0.35	1.5375
ENST00000376454.7	255000	4	10000	0.5	1.04898
ENST00000635504.1	171839	4	10000	0.5	1.0375
ENST00000376378.5	102878	6	10000	0.75	0.975
ENST00000320152.10	103998	6	10000	0.8	0.972222
ENST00000376302.5	89208	4	10000	0.4	1.44333
ENST00000305242.9	186881	4	10000	1.1	1.09857
ENST00000375311.1	187145	16	19017.1	0.541438	0.933293
ENST00000560196.5	183665	21	20000	0.283333	1.35
ENST00000542815.7	208073	27	20000	0.333333	1.36622
ENST00000344936.6	122502	43	20000	0.4	1.565
ENST00000277657.12	128425	4	10000	1.05	1.04348
ENST00000374823.9	133365	5	10000	0.75	1.18125
ENST00000346874.8	255000	22	19481.8	0.372001	1.25834
ENST00000340077.9	255000	21	19481.8	0.372001	1.2594
ENST00000492478.5	216132	29	25000	0.375	1.36974
ENST00000426557.5	103119	37	20000	0.5	0.9875
ENST00000361781.6	255000	4	10000	0.8	1.43673
ENST00000608287.1	164491	5	10000	0.75	1.49833
ENST00000483649.1	76544	24	15000	0.55	1.33333
ENST00000263102.6	117894	5	10000	0.25	1.24524
ENST00000373758.4	103761	4	10000	0.6	1.25
ENST00000373053.7	195564	12	10000	0.2	1.27703
ENST00000536019.5	195074	6	10000	0.15	1.30541
ENST00000339859.8	128113	3	10000	0.45	1.18261
ENST00000372391.6	135736	38	18852.7	0.547342	1.16807
ENST00000224756.12	189855	5	10000	0.3	1.27857
ENST00000638429.1	176225	5	10000	0.15	1.30303
ENST00000372037.7	176189	4	10000	0.15	1.30152
ENST00000371953.7	108818	4	10000	0.95	1.09474
ENST00000446394.5	104542	8	10000	0.35	1.07222
ENST00000265990.10	106557	7	10000	0.25	1.15
ENST00000265997.4	241457	4	10000	0.4	1.22826
ENST00000478361.6	99596	4	10000	0.85	1.32353
ENST00000265986.10	122393	5	10000	0.85	1.36818
ENST00000443748.6	211026	9	10000	0.75	1.08125
ENST00000260762.10	210971	41	20000	0.783333	1.08947
ENST00000225235.4	133427	47	18792.3	0.406217	1.57271
ENST00000607232.5	246619	23	24330	0.318935	1.26132
ENST00000371103.8	132160	7	10000	0.5	1.08333
ENST00000356016.7	125937	6	10000	0.5	1.06522
ENST00000370183.2	171550	4	10000	0.8	1.4
ENST00000369857.8	104356	5	10000	1.2	1.11389
ENST00000475954.5	109128	38	20000	0.466667	1.57647
ENST00000369519.3	195073	5	10000	0.05	1.40811
ENST00000480057.1	80047	7	10000	0.4	1.06071
ENST00000609571.5	78012	8	10000	0.85	1.65385
ENST00000355044.7	255000	7	10000	0.8	1.44286
ENST00000369234.4	208633	4	10000	1	1.23333
ENST00000355422.10	209704	5	10000	1.35	1.16667
ENST00000489491.1	84296	7	10000	0.2	1.28929
ENST00000334464.6	98194	9	10000	0.15	1.30882
ENST00000454857.5	159966	3	10000	1.3	1.17931
ENST00000369058.7	114537	56	20000	0.716667	1.65833
ENST00000423243.5	184744	5	10000	0.7	1.08971
ENST00000492237.5	97468	3	10000	2	0.941176
ENST00000337195.9	176197	4	10000	0.5	1.14848
